date,SCHD_close
2025-08-22,27.95
2025-08-21,27.52
2025-08-20,27.51
2025-08-19,27.45
2025-08-18,27.26
2025-08-15,27.33
2025-08-14,27.34
2025-08-13,27.46
2025-08-12,27.1
2025-08-11,26.79
2025-08-08,26.88
2025-08-07,26.75
2025-08-06,26.68
2025-08-05,26.74
2025-08-04,26.61
2025-08-01,26.38
2025-07-31,26.5
2025-07-30,26.84
2025-07-29,27.17
2025-07-28,27.2
2025-07-25,27.32
2025-07-24,27.28
2025-07-23,27.38
2025-07-22,27.24
2025-07-21,26.95
2025-07-18,27.02
2025-07-17,27.14
2025-07-16,26.93
2025-07-15,26.87
2025-07-14,27.31
2025-07-11,27.33
2025-07-10,27.51
2025-07-09,27.29
2025-07-08,27.32
2025-07-07,27.06
2025-07-03,27.35
2025-07-02,27.31
2025-07-01,27.05
2025-06-30,26.5
2025-06-27,26.39
2025-06-26,26.39
2025-06-25,26.2
2025-06-24,26.74
2025-06-23,26.7
2025-06-20,26.7
2025-06-18,26.64
2025-06-17,26.72
2025-06-16,26.92
2025-06-13,26.9
2025-06-12,27.02
2025-06-11,26.86
2025-06-10,26.95
2025-06-09,26.65
2025-06-06,26.54
2025-06-05,26.23
2025-06-04,26.29
2025-06-03,26.44
2025-06-02,26.25
2025-05-30,26.17
2025-05-29,26.19
2025-05-28,26.04
2025-05-27,26.27
2025-05-23,25.89
2025-05-22,25.96
2025-05-21,26.01
2025-05-20,26.48
2025-05-19,26.58
2025-05-16,26.6
2025-05-15,26.42
2025-05-14,26.0
2025-05-13,26.31
2025-05-12,26.43
2025-05-09,25.73
2025-05-08,25.78
2025-05-07,25.64
2025-05-06,25.55
2025-05-05,25.8
2025-05-02,26.06
2025-05-01,25.71
2025-04-30,25.82
2025-04-29,25.89
2025-04-28,25.79
2025-04-25,25.67
2025-04-24,25.71
2025-04-23,25.42
2025-04-22,25.44
2025-04-21,25.03
2025-04-17,25.42
2025-04-16,25.13
2025-04-15,25.43
2025-04-14,25.6
2025-04-11,25.3
2025-04-10,24.97
2025-04-09,25.87
2025-04-08,24.32
2025-04-07,24.94
2025-04-04,25.28
2025-04-03,26.73
2025-04-02,27.87
2025-04-01,27.87
2025-03-31,27.96
2025-03-28,27.58
2025-03-27,27.75
2025-03-26,27.8
2025-03-25,27.84
2025-03-24,28.09
2025-03-21,27.76
2025-03-20,27.95
2025-03-19,28.03
2025-03-18,27.92
2025-03-17,27.96
2025-03-14,27.64
2025-03-13,27.29
2025-03-12,27.44
2025-03-11,27.74
2025-03-10,28.38
2025-03-07,28.46
2025-03-06,28.07
2025-03-05,28.05
2025-03-04,27.92
2025-03-03,28.4
2025-02-28,28.54
2025-02-27,28.17
2025-02-26,28.15
2025-02-25,28.45
2025-02-24,28.26
2025-02-21,28.21
2025-02-20,28.32
2025-02-19,28.18
2025-02-18,27.99
2025-02-14,27.79
2025-02-13,27.85
2025-02-12,27.65
2025-02-11,27.87
2025-02-10,27.68
2025-02-07,27.56
2025-02-06,27.75
2025-02-05,27.95
2025-02-04,27.76
2025-02-03,27.72
2025-01-31,27.83
